SAPPHIRE 라데온 RX 560 14CU PULSE Advantage Edition D5 2GB,SAPPHIRE,RX560D,14,NA,1226,896,NA,NA,6000,2,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 400W 이상 / 전원부: 3페이즈 / 1개 팬 / 210mm,85900
갤럭시 GALAX 지포스 RTX 2080 Hall Of Fame D6 8GB,갤럭시,RTX2080,12,2944,NA,NA,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 3개 팬 / LED 라이트,1036000
ASRock Phantom Gaming X 라데온 RX 570 OC D5 4GB 에즈윈,ASRock,RX570,14,1280,1331,2048,3.0x16,5,7000,4,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,150000
이엠텍 XENON 지포스 RTX 2070 TURBO JET D6 8GB,이엠텍,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 210W / 정격파워 550W 이상 / 전원부: 8+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,668700
갤럭시 GALAX 지포스 GTX1060 OC D5X 6GB,갤럭시,GTX1060,16,1518,1733,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4+1페이즈 / 2개 팬 / 214mm,289200
MSI 라데온 RX 580 아머 OC D5 8GB,MSI,RX580,14,1366,NA,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 185W / 정격파워 500W 이상 / 2개 팬 / 269mm,237900
GIGABYTE AORUS Xtreme 지포스 RTX 2080 Ti D6 11GB 워터포스,GIGABYTE,RTX2080Ti,12,NA,1770,4352,3.0x16,6,14140,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 750W 이상 / 전원부: 16+3페이즈 / 290mm / 백플레이트 / 수냉 장착 지원 / RGB FUSION,1848000
MANLI 지포스 GTX1060 Black Frame OC D5 3GB,MANLI,GTX1060,16,1531,1746,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 전원부: 4페이즈 / 2개 팬 / 225mm,247350
GIGABYTE 라데온 RX Vega 64 Gaming HBM2 8GB,GIGABYTE,RXVega64,14,1276,1560,4096,3.0x16,NA,NA,NA,NA,8GB / 2048-bit / HDMI / DP / 최대 모니터 6개 / 정격파워 750W 이상 / 전원부: 13페이즈 / 2개 팬 / 274mm / 백플레이트,591770
SAPPHIRE 라데온 RX 590 NITRO+ Special Edition OC D5 8GB Dual-X,SAPPHIRE,RX590,12,NA,1560,2304,3.0x16,5,8400,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 250W / 정격파워 500W 이상 / 2개 팬 / 260mm / 백플레이트 / LED 라이트 / NITRO GLOW,326800
리드텍 쿼드로 P4000 D5 8GB ABKO,리드텍,NA,NA,1792,NA,NA,3.0x16,5,NA,8,256,DP / 최대 105W / 1개 팬 / 241mm,926000
ASRock Phantom Gaming X 라데온 RX 580 OC D5 8GB 에즈윈,ASRock,RX580,14,1380,1435,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,250000
ZOTAC GAMING 지포스 RTX 2070 AIR OC D6 8GB,ZOTAC,RTX2070,12,NA,1650,2304,3.0x16,6,14000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 217mm / 백플레이트,611000
COLORFUL 지포스 GTX1050 Ti 토마호크 OC D5 4GB,COLORFUL,GTX1050Ti,14,1366,1468,768,NA,NA,7000,4,128,DVI / HDMI / DP / 최대 75W / 전원부: 4페이즈 / 2개 팬 / 240mm,160050
GIGABYTE 지포스 RTX 2080 Ti Gaming D6 11GB,GIGABYTE,RTX2080Ti,12,1650,1665,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 650W / 전원부: 13+3페이즈 / 3개 팬 / 287mm / 백플레이트 / LED 라이트 / RGB FUSION,1578200
갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,갤럭시,RTX2080Ti,12,4352,NA,NA,3.0x16,6,NA,11,352,3개 팬,1780900
MSI 지포스 GTX1060 아머 VR OC D5 3GB,MSI,GTX1060,16,1544,1759,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 275mm,229500
