ANDYSON VENUS 700W 80PLUS Standard 230V EU,ANDYSON,ATX,700,120,1,액티브,싱글레일,53,2,4,4,NA,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / Reform 케이블 / 80 PLUS / 스탠다드,50790
마이크로닉스 Compact SFX 450W 80Plus Bronze,마이크로닉스,M-ATX(SFX),450,80,1,액티브,싱글레일,36,2,4,1,3,20핀+4핀 / 깊이: 100mm / 6핀 PCI-E x1 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,71600
SuperFlower SF-600P14MS SILVER ECO 90+,SuperFlower,ATX,600,128,1,액티브,싱글레일,49,3,6,3,7,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 80 PLUS / 실버,78000
시소닉 SSP-300TBS 80PLUS BRONZE,시소닉,TFX,300,80,1,액티브,다중레일,18,2,4,NA,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,46400
마이크로닉스 Performance II PV 500W 80Plus Bronze Surge 4K,마이크로닉스,ATX,500,120,1,액티브,싱글레일,41,3,6,2,6,20핀+4핀 / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,64900
Antec VP500P PLUS 80PLUS Standard 230V EU,Antec,ATX,500,120,1,액티브,싱글레일,38,2,7,2,3,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 80 PLUS / 스탠다드,40400
쿨러마스터 V1200 PLATINUM,쿨러마스터,ATX,1200,135,NA,액티브,싱글레일,100,9,12,12,NA,20핀+4핀 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 프리볼트 / 80 PLUS / 플레티넘,335000
EVGA 500 BQ 80PLUS BRONZE,EVGA,ATX,500,120,1,액티브,싱글레일,41,3,6,2,3,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 프리볼트 / 80 PLUS / 브론즈,49800
SuperFlower SF-750F14MT LEADEX SILVER,SuperFlower,ATX,750,140,1,액티브,싱글레일,62,4,9,4,7,20핀+4핀 / 깊이: 165mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 대기전력 1W / 80 PLUS / 실버,112000
시소닉 PRIME Ultra Gold SSR-1000GD Full Modular,시소닉,ATX,1000,135,1,액티브,싱글레일,83,5,12,8,12,20핀+4핀 / 깊이: 170mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 수동 팬 조절 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,256000
topower TOP-600DS Single Rail 80PLUS Bronze Rifle,topower,ATX,600,120,1,액티브,싱글레일,48,1,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,53000
