G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z ROYAL 골드 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 14-14-14-34,NA
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z ROYAL 실버 (16Gx2),G.SKILL,4,PC용,2,포함,Dimm,32,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 16-18-18-38,444000
삼성전자 노트북 DDR4 8G PC4-17000,삼성전자,4,노트북용,1,미포함,SO-Dimm,8,2133,NA,73190
G.SKILL DDR4 16G PC4-34100 CL19 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4266,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 19-19-19-39,490000
G.SKILL DDR4 16G PC4-28800 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,3600,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,318500
G.SKILL DDR4 16G PC4-36800 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4600,1.45V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,NA
TeamGroup T-Force DDR4 16G PC4-25600 CL16 DARK Red (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,3200,1.35V / XMP / 메모리 타이밍 : 16-18-18-38,172850
GeIL DDR4 16G PC4-25600 CL14 SUPER LUCE RGB Sync 화이트 (8Gx2),GeIL,4,PC용,2,포함,Dimm,16,3200,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / RGB LED / 메모리 타이밍 : 14-14-14-34,294000
TeamGroup T-Force DDR4 16G PC4-25600 CL16 DARK Gray (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,3200,1.35V / XMP / 메모리 타이밍 : 16-18-18-38,172210
TeamGroup T-Force DDR4 16G PC4-32000 CL18 Night Hawk RGB (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,4000,1.35V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 18-20-20-44,310820
TeamGroup T-Force DDR4 16G PC4-21300 CL15 Delta RGB (8Gx2),TeamGroup,4,PC용,2,포함,Dimm,16,2666,1.20V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / 메모리 타이밍 : 15-17-17-35,168800
삼성전자 노트북 DDR4 4G PC4-17000,삼성전자,4,노트북용,1,미포함,SO-Dimm,4,2133,NA,45000
G.SKILL DDR4 16G PC4-36800 CL18 TRIDENT Z ROYAL 골드 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4600,1.45V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-22-22-42,NA
G.SKILL DDR4 16G PC4-35200 CL18 TRIDENT Z ROYAL 실버 (8Gx2),G.SKILL,4,PC용,2,포함,Dimm,16,4400,1.40V / LED 색상: RGB / XMP / LED 라이트 / AURA SYNC / MYSTIC LIGHT / RGB FUSION / 메모리 타이밍 : 18-19-19-39,NA
