MSI MPG Z390 게이밍 플러스,MSI,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),10,4,64,16,6,6,NA,7.1,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / LED 라이트 / MYSTIC LIGHT,185000
ASUS PRIME H370-A STCOM,ASUS,인텔(소켓1151v2),(인텔) H370,ATX (30.5x22.1),6,4,64,16,6,6,2,8,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,132000
GIGABYTE B450 AORUS PRO WiFi 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,ATX (30.5x24.4),7,4,64,16,4,6,2,8,2,NA,4,2,멀티 GPU: CrossFire X / 그래픽 출력: DVI HDMI / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,151000
GIGABYTE Z370M D3H 듀러블에디션 제이씨현,GIGABYTE,인텔(소켓1151v2),(인텔) Z370,M-ATX (24.4x24.4),6,4,64,16,4,6,2,8,1,NA,7,NA,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,130100
GIGABYTE A320M-H 듀러블에디션 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) A320,M-ATX (24.4x19.5),6,4,32,16,3,4,1,8,2,2,4,NA,XMP / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready,62020
MSI MEG Z390 갓라이크,MSI,인텔(소켓1151v2),(인텔) Z390,E-ATX (30.5x27.2),18,4,64,16,5,6,3,7.1,1,NA,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / U.2: 1개 / 기가비트 LAN / 듀얼 LAN / 무선 LAN / 블루투스 / UEFI / VR Ready / LED 라이트 / MYSTIC LIGHT,774000
ASUS PRIME Z370-A STCOM,ASUS,인텔(소켓1151v2),(인텔) Z370,ATX (30.5x24.4),2,4,64,16,7,6,2,8,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / AURA SYNC,234080
GIGABYTE GA-H110M-DS2V 듀러블에디션 제이씨현,GIGABYTE,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4),4,4,32,NA,NA,4,NA,6,1,2,2,NA,그래픽 출력: D-SUB DVI / 기가비트 LAN,58000
BIOSTAR B360MHD PRO 이엠텍,BIOSTAR,인텔(소켓1151v2),(인텔) B360,M-ATX (22.8x17.7),5,4,32,16,3,4,NA,7.1,2,2,4,NA,그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,71500
GIGABYTE Z390 UD 듀러블에디션 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x23.0),2,4,64,16,6,6,1,7.1,2,NA,6,NA,XMP / 옵테인 / 멀티 GPU: CrossFire / 그래픽 출력: HDMI / 기가비트 LAN / UEFI / VR Ready / LED 헤더,162900
MSI MEG X399 크리에이션,MSI,AMD(소켓TR4),(AMD) X399,E-ATX (30.4x27.2),19,4,128,16,5,8,3,7.1,2,NA,8,2,멀티 GPU: CrossFire SLI / 기가비트 LAN / 듀얼 LAN / 무선 LAN / 블루투스 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,680900
ASRock B360M PRO4 디앤디컴,ASRock,인텔(소켓1151v2),(인텔) B360,M-ATX (24.4x24.4),10,4,64,16,4,6,3,7.1,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,88900
GIGABYTE Z390 AORUS XTREME 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,E-ATX (30.5x27.1),16,4,64,16,5,6,3,7.1,NA,2,2,6,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 그래픽 출력: HDMI / 기가비트 LAN / 10기가비트 LAN / 100Mbps LAN / 무선 LAN / 블루투스 / UEFI / LED 라이트 / LED 헤더 / RGB FUSION,697000
GIGABYTE B450M GAMING 게이밍에디션 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x20.5),3,4,32,NA,3,4,1,6,2,2,4,NA,그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 헤더 / RGB FUSION,85800
